symbol,timestamp,open,high,low,close,volume
AMZN,2025-03-21 14:55:00,195.5500,196.0200,195.5500,195.8250,236520
AMZN,2025-03-21 14:50:00,195.6600,195.7800,195.4550,195.5500,191598
AMZN,2025-03-21 14:45:00,195.8900,195.9799,195.5300,195.6650,209857
AMZN,2025-03-21 14:40:00,195.7200,195.9600,195.6900,195.9023,154212
AMZN,2025-03-21 14:35:00,195.4600,195.8100,195.4400,195.7300,196579
AMZN,2025-03-21 14:30:00,195.3600,195.5700,195.3500,195.4800,158195
AMZN,2025-03-21 14:25:00,195.3700,195.5747,195.2100,195.3750,149142
AMZN,2025-03-21 14:20:00,195.5600,195.6100,195.2600,195.3800,152711
AMZN,2025-03-21 14:15:00,195.6200,195.7100,195.4731,195.5800,135557
AMZN,2025-03-21 14:10:00,195.6600,195.8000,195.4500,195.6200,217473
AMZN,2025-03-21 14:05:00,196.0200,196.0600,195.5803,195.6650,214971
AMZN,2025-03-21 14:00:00,195.8500,196.1494,195.8200,196.0200,164044
AMZN,2025-03-21 13:55:00,196.2600,196.3050,195.8150,195.8300,176283
AMZN,2025-03-21 13:50:00,196.2400,196.4100,196.1150,196.2500,245302
AMZN,2025-03-21 13:45:00,195.8837,196.2859,195.8600,196.2400,225089
AMZN,2025-03-21 13:40:00,195.7900,196.0800,195.7750,195.8750,249147
AMZN,2025-03-21 13:35:00,195.4500,195.8400,195.3900,195.8100,159955
AMZN,2025-03-21 13:30:00,195.2200,195.5299,195.0800,195.4504,197663
AMZN,2025-03-21 13:25:00,195.3700,195.4735,195.0101,195.2250,141774
AMZN,2025-03-21 13:20:00,195.1000,195.3700,195.0500,195.3700,134399
AMZN,2025-03-21 13:15:00,195.3500,195.4200,195.1000,195.1200,136496
AMZN,2025-03-21 13:10:00,195.5600,195.6500,195.2500,195.3500,147599
AMZN,2025-03-21 13:05:00,195.3300,195.5900,195.2700,195.5800,133347
AMZN,2025-03-21 13:00:00,195.8100,195.8200,195.2400,195.3206,147377
AMZN,2025-03-21 12:55:00,195.4000,195.8700,195.3600,195.8100,186333
AMZN,2025-03-21 12:50:00,195.3300,195.5300,195.2301,195.4200,178059
AMZN,2025-03-21 12:45:00,194.9900,195.4800,194.9900,195.3450,192156
AMZN,2025-03-21 12:40:00,195.3400,195.4600,194.8600,194.9700,194597
AMZN,2025-03-21 12:35:00,195.6400,195.6500,195.0800,195.3400,184509
AMZN,2025-03-21 12:30:00,195.3700,195.7600,195.2900,195.6500,226272
AMZN,2025-03-21 12:25:00,195.9000,195.9100,195.3100,195.3500,267802
AMZN,2025-03-21 12:20:00,195.7100,195.9750,195.3875,195.9100,375745
AMZN,2025-03-21 12:15:00,195.3100,195.8600,195.2800,195.7500,614755
AMZN,2025-03-21 12:10:00,194.6850,195.3100,194.6500,195.2800,386361
AMZN,2025-03-21 12:05:00,194.4800,194.8400,194.4500,194.6900,280127
AMZN,2025-03-21 12:00:00,194.0800,194.5200,193.7800,194.4796,466897
AMZN,2025-03-21 11:55:00,194.1400,194.3600,193.9860,194.1100,169554
AMZN,2025-03-21 11:50:00,194.0400,194.3899,193.8300,194.1000,268156
AMZN,2025-03-21 11:45:00,193.6200,194.1400,193.6200,194.0400,216631
AMZN,2025-03-21 11:40:00,194.1000,194.2100,193.5500,193.6400,394649
GOOGL,2025-03-21 19:55:00,164.3482,164.3500,164.3000,164.3100,1807
GOOGL,2025-03-21 19:50:00,164.3100,164.3500,164.3000,164.3300,1467
GOOGL,2025-03-21 19:45:00,164.3400,164.3500,164.3000,164.3200,884
GOOGL,2025-03-21 19:40:00,164.3500,164.3500,164.3000,164.3019,735
GOOGL,2025-03-21 19:35:00,164.3000,164.3500,164.3000,164.3300,321
GOOGL,2025-03-21 19:30:00,164.3600,164.3600,163.9900,164.3000,12717
GOOGL,2025-03-21 19:25:00,164.4000,164.4000,164.3000,164.3300,695
GOOGL,2025-03-21 19:20:00,164.3000,164.4000,164.3000,164.3000,101
GOOGL,2025-03-21 19:15:00,164.3000,164.4000,164.3000,164.3600,825
GOOGL,2025-03-21 19:10:00,164.3400,164.4000,164.3000,164.3000,313
GOOGL,2025-03-21 19:05:00,164.4000,164.4000,164.3000,164.4000,977
